date,time,latitude,longitude,number_of_persons_injured,number_of_persons_killed,contributing_factor_vehicle_1
2022-03-21,12:05:00,40.75632,-73.999275,1,0,Following Too Closely
2022-03-26,05:13:00,40.69614,-73.81789,0,0,Failure to Yield Right-of-Way
2022-03-26,17:42:00,40.631687,-73.9205,0,0,Driver Inattention/Distraction
2022-03-26,12:18:00,40.88839,-73.84666,2,0,Failure to Yield Right-of-Way
2022-03-26,20:10:00,40.844425,-73.8639,0,0,Unspecified
2022-03-26,15:45:00,40.833965,-73.8629,2,0,Alcohol Involvement
2022-03-26,17:55:00,40.705738,-73.944695,0,0,Driver Inattention/Distraction
2022-03-26,00:50:00,40.637905,-73.8878,0,0,Unsafe Speed
2022-03-26,14:05:00,40.635063,-73.94788,1,0,Unsafe Speed
2022-03-26,09:30:00,40.804153,-73.91304,0,0,Unspecified
2022-03-10,08:30:00,40.676403,-73.96287,4,0,Other Vehicular
2022-03-24,23:00:00,40.829777,-73.85055,1,0,Unspecified
2022-03-26,07:36:00,40.613926,-74.030174,0,0,Brakes Defective
2022-03-26,11:50:00,40.635563,-73.89577,2,0,Failure to Yield Right-of-Way
2022-03-26,17:42:00,40.675167,-73.825264,0,0,Passing Too Closely
2022-03-26,01:45:00,40.761486,-73.96061,0,0,Driver Inattention/Distraction
2022-03-26,17:00:00,40.712284,-73.964005,0,0,Passing or Lane Usage Improper
2022-02-25,11:48:00,40.70546,-73.7949,0,0,Following Too Closely
2022-03-26,22:51:00,40.74967,-73.99531,1,0,Failure to Yield Right-of-Way
2022-03-26,08:21:00,40.833786,-73.94037,0,0,Driver Inattention/Distraction
2022-03-17,08:00:00,40.67794,-73.8023,1,0,Traffic Control Disregarded
2022-03-26,10:30:00,40.637985,-74.0076,0,0,Backing Unsafely
2022-03-26,13:48:00,40.835037,-73.93979,1,0,
2022-03-25,09:56:00,40.9046,-73.852936,0,0,Driver Inattention/Distraction
2022-03-26,23:45:00,40.742508,-73.91788,1,0,Driver Inattention/Distraction
